run,param,peak_infection,selection_events,transmission_R,cumulative_I_R
26,0.4,6.0,6.0,127.0,237.0
27,0.4,6.0,13.0,80.0,191.0
28,0.4,5.0,10.0,82.0,116.0
29,0.4,5.0,7.0,92.0,173.0
30,0.4,5.0,10.0,69.0,124.0
31,0.4,5.0,9.0,86.0,150.0
32,0.4,5.0,17.0,57.0,156.0
33,0.4,5.0,12.0,85.0,168.0
34,0.4,5.0,7.0,121.0,291.0
35,0.4,7.0,4.0,122.0,275.0
36,0.4,4.0,14.0,55.0,89.0
37,0.4,5.0,13.0,23.0,53.0
38,0.4,5.0,10.0,80.0,139.0
39,0.4,5.0,8.0,114.0,184.0
40,0.4,5.0,13.0,50.0,85.0
41,0.4,4.0,15.0,59.0,157.0
42,0.4,5.0,8.0,123.0,294.0
43,0.4,5.0,9.0,47.0,86.0
44,0.4,4.0,11.0,51.0,134.0
45,0.4,5.0,15.0,55.0,165.0
46,0.4,4.0,11.0,26.0,62.0
47,0.4,5.0,7.0,106.0,237.0
48,0.4,4.0,5.0,113.0,173.0
49,0.4,4.0,14.0,28.0,26.0
50,0.4,5.0,8.0,106.0,197.0
51,0.4,5.0,3.0,104.0,194.0
52,0.4,6.0,11.0,108.0,250.0
53,0.4,4.0,10.0,102.0,116.0
54,0.4,5.0,11.0,73.0,149.0
55,0.4,6.0,4.0,106.0,231.0
56,0.4,5.0,11.0,112.0,199.0
57,0.4,8.0,10.0,64.0,196.0
58,0.4,4.0,8.0,83.0,99.0
59,0.4,5.0,8.0,116.0,248.0
60,0.4,4.0,11.0,61.0,105.0
61,0.4,7.0,16.0,42.0,89.0
62,0.4,5.0,4.0,117.0,196.0
63,0.4,6.0,7.0,117.0,281.0
64,0.4,4.0,16.0,29.0,70.0
65,0.4,4.0,7.0,74.0,152.0
66,0.4,4.0,9.0,68.0,133.0
67,0.4,5.0,14.0,65.0,98.0
68,0.4,5.0,12.0,74.0,136.0
69,0.4,7.0,8.0,94.0,222.0
70,0.4,5.0,24.0,30.0,58.0
71,0.4,5.0,10.0,64.0,167.0
72,0.4,5.0,4.0,108.0,195.0
73,0.4,4.0,8.0,104.0,148.0
74,0.4,5.0,12.0,89.0,133.0
75,0.4,6.0,7.0,115.0,203.0
76,0.4,5.0,10.0,102.0,147.0
77,0.4,5.0,17.0,48.0,70.0
78,0.4,5.0,12.0,73.0,106.0
79,0.4,6.0,6.0,95.0,258.0
80,0.4,5.0,10.0,101.0,268.0
81,0.4,5.0,9.0,51.0,83.0
82,0.4,4.0,8.0,108.0,223.0
83,0.4,6.0,5.0,133.0,192.0
84,0.4,6.0,12.0,82.0,162.0
85,0.4,5.0,12.0,27.0,121.0
86,0.4,6.0,10.0,96.0,214.0
87,0.4,5.0,9.0,99.0,169.0
88,0.4,6.0,11.0,75.0,138.0
89,0.4,4.0,8.0,74.0,140.0
90,0.4,4.0,12.0,76.0,156.0
91,0.4,5.0,4.0,85.0,229.0
92,0.4,6.0,5.0,114.0,264.0
93,0.4,6.0,9.0,101.0,185.0
94,0.4,6.0,10.0,78.0,146.0
95,0.4,5.0,10.0,84.0,158.0
96,0.4,5.0,17.0,29.0,49.0
97,0.4,4.0,15.0,63.0,106.0
98,0.4,5.0,8.0,97.0,194.0
99,0.4,4.0,13.0,55.0,116.0
100,0.4,4.0,20.0,44.0,64.0
1,0.6,6.0,8.0,91.0,233.0
2,0.6,5.0,16.0,63.0,141.0
3,0.6,5.0,1.0,134.0,274.0
4,0.6,5.0,10.0,100.0,141.0
5,0.6,5.0,9.0,60.0,120.0
6,0.6,5.0,11.0,73.0,145.0
7,0.6,5.0,7.0,104.0,211.0
8,0.6,5.0,3.0,113.0,150.0
9,0.6,5.0,16.0,29.0,30.0
10,0.6,5.0,15.0,59.0,190.0
11,0.6,6.0,13.0,57.0,132.0
12,0.6,6.0,10.0,74.0,154.0
13,0.6,5.0,14.0,24.0,45.0
14,0.6,5.0,18.0,37.0,83.0
