run,peak_infection,total_abx_days,abx_days_per_baby,selection_events,transmission_R,total_recoveries,cumulative_I_R,scenario,baseline,strategy,prevalence_I_R
54,4.0,434.0,108.5,10.0,50.0,43.0,77.0,Mid_E,Mid,E,0.054225352112676053
55,5.0,478.0,47.8,9.0,50.0,65.0,88.0,Mid_E,Mid,E,0.061971830985915494
56,4.0,611.0,61.1,16.0,24.0,55.0,61.0,Mid_E,Mid,E,0.04295774647887324
57,6.0,313.0,31.3,4.0,104.0,51.0,221.0,Mid_E,Mid,E,0.1556338028169014
58,5.0,385.0,55.0,14.0,89.0,42.0,171.0,Mid_E,Mid,E,0.12042253521126761
59,6.0,345.0,34.5,7.0,101.0,47.0,182.0,Mid_E,Mid,E,0.12816901408450704
60,5.0,411.0,41.1,12.0,83.0,54.0,234.0,Mid_E,Mid,E,0.1647887323943662
61,4.0,382.0,95.5,9.0,98.0,44.0,156.0,Mid_E,Mid,E,0.10985915492957747
62,7.0,368.0,92.0,10.0,89.0,42.0,167.0,Mid_E,Mid,E,0.1176056338028169
63,6.0,530.0,53.0,10.0,60.0,57.0,113.0,Mid_E,Mid,E,0.0795774647887324
64,4.0,480.0,Inf,6.0,42.0,41.0,72.0,Mid_E,Mid,E,0.05070422535211268
65,4.0,393.0,393.0,13.0,66.0,37.0,131.0,Mid_E,Mid,E,0.09225352112676057
66,6.0,569.0,56.9,14.0,48.0,58.0,111.0,Mid_E,Mid,E,0.07816901408450705
67,4.0,342.0,114.0,5.0,83.0,44.0,136.0,Mid_E,Mid,E,0.09577464788732394
68,6.0,580.0,58.0,18.0,23.0,56.0,75.0,Mid_E,Mid,E,0.0528169014084507
69,5.0,422.0,211.0,12.0,82.0,46.0,141.0,Mid_E,Mid,E,0.09929577464788733
70,5.0,451.0,90.2,10.0,76.0,58.0,124.0,Mid_E,Mid,E,0.08732394366197183
71,6.0,218.0,Inf,3.0,128.0,46.0,225.0,Mid_E,Mid,E,0.15845070422535212
72,5.0,367.0,36.7,9.0,104.0,54.0,205.0,Mid_E,Mid,E,0.1443661971830986
73,6.0,280.0,28.0,6.0,123.0,45.0,267.0,Mid_E,Mid,E,0.1880281690140845
74,4.0,326.0,32.6,8.0,113.0,50.0,203.0,Mid_E,Mid,E,0.14295774647887324
75,6.0,365.0,36.5,9.0,106.0,48.0,232.0,Mid_E,Mid,E,0.16338028169014085
76,5.0,381.0,381.0,8.0,53.0,41.0,61.0,Mid_E,Mid,E,0.04295774647887324
77,4.0,422.0,105.5,11.0,69.0,47.0,130.0,Mid_E,Mid,E,0.09154929577464789
78,5.0,522.0,52.2,16.0,35.0,45.0,103.0,Mid_E,Mid,E,0.07253521126760563
79,5.0,376.0,41.78,9.0,93.0,58.0,178.0,Mid_E,Mid,E,0.12535211267605634
80,4.0,473.0,Inf,17.0,44.0,43.0,88.0,Mid_E,Mid,E,0.061971830985915494
81,4.0,397.0,397.0,9.0,69.0,49.0,136.0,Mid_E,Mid,E,0.09577464788732394
82,5.0,455.0,113.75,16.0,33.0,46.0,63.0,Mid_E,Mid,E,0.044366197183098595
83,6.0,528.0,52.8,14.0,33.0,57.0,77.0,Mid_E,Mid,E,0.054225352112676053
84,8.0,287.0,31.89,5.0,110.0,36.0,210.0,Mid_E,Mid,E,0.14788732394366197
85,6.0,317.0,31.7,7.0,94.0,53.0,190.0,Mid_E,Mid,E,0.13380281690140844
86,6.0,433.0,54.12,12.0,71.0,45.0,151.0,Mid_E,Mid,E,0.10633802816901408
87,6.0,322.0,32.2,6.0,98.0,40.0,187.0,Mid_E,Mid,E,0.1316901408450704
88,6.0,538.0,59.78,14.0,57.0,57.0,125.0,Mid_E,Mid,E,0.0880281690140845
89,5.0,568.0,189.33,9.0,15.0,56.0,33.0,Mid_E,Mid,E,0.02323943661971831
90,6.0,476.0,79.33,10.0,38.0,56.0,58.0,Mid_E,Mid,E,0.04084507042253521
91,4.0,438.0,43.8,12.0,55.0,46.0,81.0,Mid_E,Mid,E,0.05704225352112676
92,6.0,277.0,Inf,2.0,106.0,30.0,223.0,Mid_E,Mid,E,0.15704225352112677
93,6.0,388.0,43.11,6.0,80.0,50.0,195.0,Mid_E,Mid,E,0.13732394366197184
94,4.0,597.0,59.7,14.0,35.0,67.0,59.0,Mid_E,Mid,E,0.04154929577464789
95,5.0,386.0,386.0,9.0,70.0,44.0,151.0,Mid_E,Mid,E,0.10633802816901408
96,5.0,253.0,25.3,3.0,132.0,51.0,178.0,Mid_E,Mid,E,0.12535211267605634
97,6.0,472.0,236.0,8.0,59.0,51.0,91.0,Mid_E,Mid,E,0.06408450704225352
98,5.0,453.0,90.6,10.0,68.0,53.0,145.0,Mid_E,Mid,E,0.10211267605633803
99,6.0,255.0,85.0,6.0,129.0,41.0,256.0,Mid_E,Mid,E,0.18028169014084508
100,5.0,339.0,37.67,8.0,106.0,54.0,202.0,Mid_E,Mid,E,0.14225352112676057
1,5.0,280.0,28.0,7.0,50.0,66.0,92.0,Mid_F,Mid,F,0.0647887323943662
2,5.0,283.0,28.3,7.0,13.0,58.0,27.0,Mid_F,Mid,F,0.019014084507042252
3,7.0,266.0,44.33,5.0,50.0,49.0,102.0,Mid_F,Mid,F,0.07183098591549296
4,6.0,205.0,68.33,4.0,111.0,43.0,194.0,Mid_F,Mid,F,0.13661971830985917
5,4.0,262.0,52.4,5.0,10.0,61.0,32.0,Mid_F,Mid,F,0.022535211267605635
6,4.0,243.0,24.3,1.0,74.0,57.0,168.0,Mid_F,Mid,F,0.11830985915492957
7,4.0,208.0,34.67,2.0,77.0,43.0,125.0,Mid_F,Mid,F,0.0880281690140845
8,5.0,217.0,43.4,3.0,75.0,55.0,119.0,Mid_F,Mid,F,0.08380281690140845
9,5.0,261.0,26.1,5.0,24.0,51.0,49.0,Mid_F,Mid,F,0.03450704225352113
10,5.0,293.0,36.62,6.0,23.0,69.0,68.0,Mid_F,Mid,F,0.04788732394366197
11,6.0,256.0,25.6,4.0,54.0,57.0,133.0,Mid_F,Mid,F,0.09366197183098592
12,6.0,286.0,28.6,8.0,8.0,55.0,32.0,Mid_F,Mid,F,0.022535211267605635
13,5.0,281.0,28.1,8.0,29.0,61.0,85.0,Mid_F,Mid,F,0.05985915492957746
14,5.0,269.0,26.9,7.0,16.0,50.0,58.0,Mid_F,Mid,F,0.04084507042253521
15,4.0,189.0,Inf,5.0,22.0,39.0,36.0,Mid_F,Mid,F,0.02535211267605634
16,4.0,253.0,25.3,6.0,22.0,59.0,37.0,Mid_F,Mid,F,0.026056338028169014
17,4.0,214.0,Inf,3.0,64.0,47.0,103.0,Mid_F,Mid,F,0.07253521126760563
18,5.0,262.0,32.75,7.0,18.0,64.0,43.0,Mid_F,Mid,F,0.03028169014084507
19,4.0,259.0,25.9,6.0,18.0,63.0,38.0,Mid_F,Mid,F,0.02676056338028169
20,5.0,282.0,94.0,6.0,24.0,56.0,39.0,Mid_F,Mid,F,0.027464788732394368
21,5.0,255.0,51.0,6.0,89.0,60.0,160.0,Mid_F,Mid,F,0.11267605633802817
22,5.0,283.0,47.17,5.0,15.0,50.0,29.0,Mid_F,Mid,F,0.020422535211267606
23,6.0,237.0,26.33,6.0,70.0,56.0,148.0,Mid_F,Mid,F,0.10422535211267606
24,5.0,198.0,99.0,2.0,98.0,47.0,174.0,Mid_F,Mid,F,0.12253521126760564
25,5.0,248.0,62.0,6.0,50.0,51.0,75.0,Mid_F,Mid,F,0.0528169014084507
26,4.0,141.0,17.62,4.0,135.0,48.0,229.0,Mid_F,Mid,F,0.16126760563380282
27,5.0,303.0,30.3,4.0,4.0,60.0,26.0,Mid_F,Mid,F,0.018309859154929577
28,4.0,176.0,176.0,4.0,104.0,39.0,162.0,Mid_F,Mid,F,0.11408450704225352
29,4.0,187.0,18.7,5.0,75.0,45.0,122.0,Mid_F,Mid,F,0.08591549295774648
30,7.0,304.0,38.0,7.0,51.0,65.0,90.0,Mid_F,Mid,F,0.06338028169014084
31,5.0,227.0,22.7,5.0,56.0,55.0,153.0,Mid_F,Mid,F,0.10774647887323943
32,5.0,226.0,32.29,5.0,58.0,54.0,114.0,Mid_F,Mid,F,0.08028169014084507
33,4.0,257.0,257.0,7.0,36.0,57.0,60.0,Mid_F,Mid,F,0.04225352112676056
34,5.0,228.0,32.57,8.0,70.0,56.0,150.0,Mid_F,Mid,F,0.1056338028169014
35,4.0,287.0,57.4,10.0,19.0,58.0,42.0,Mid_F,Mid,F,0.029577464788732393
36,4.0,300.0,50.0,7.0,11.0,64.0,13.0,Mid_F,Mid,F,0.009154929577464789
37,5.0,239.0,79.67,4.0,42.0,45.0,70.0,Mid_F,Mid,F,0.04929577464788732
38,6.0,267.0,38.14,4.0,70.0,50.0,127.0,Mid_F,Mid,F,0.08943661971830986
39,6.0,253.0,253.0,4.0,3.0,44.0,20.0,Mid_F,Mid,F,0.014084507042253521
40,5.0,159.0,15.9,3.0,109.0,47.0,149.0,Mid_F,Mid,F,0.10492957746478873
41,7.0,268.0,89.33,9.0,34.0,45.0,69.0,Mid_F,Mid,F,0.048591549295774646
42,6.0,214.0,21.4,1.0,82.0,51.0,170.0,Mid_F,Mid,F,0.11971830985915492
43,6.0,311.0,103.67,4.0,12.0,57.0,26.0,Mid_F,Mid,F,0.018309859154929577
44,6.0,174.0,24.86,3.0,89.0,39.0,208.0,Mid_F,Mid,F,0.14647887323943662
45,4.0,263.0,131.5,8.0,13.0,40.0,23.0,Mid_F,Mid,F,0.01619718309859155
46,6.0,262.0,26.2,7.0,65.0,57.0,146.0,Mid_F,Mid,F,0.1028169014084507
47,4.0,212.0,70.67,5.0,116.0,47.0,186.0,Mid_F,Mid,F,0.13098591549295774
48,5.0,270.0,67.5,6.0,8.0,53.0,21.0,Mid_F,Mid,F,0.014788732394366197
49,5.0,242.0,80.67,5.0,22.0,46.0,58.0,Mid_F,Mid,F,0.04084507042253521
50,7.0,273.0,273.0,4.0,4.0,57.0,16.0,Mid_F,Mid,F,0.011267605633802818
51,6.0,208.0,104.0,6.0,100.0,45.0,181.0,Mid_F,Mid,F,0.12746478873239436
52,6.0,219.0,21.9,7.0,75.0,48.0,207.0,Mid_F,Mid,F,0.14577464788732394
53,7.0,233.0,23.3,4.0,83.0,47.0,185.0,Mid_F,Mid,F,0.13028169014084506
54,5.0,265.0,26.5,3.0,48.0,52.0,75.0,Mid_F,Mid,F,0.0528169014084507
55,4.0,202.0,20.2,3.0,66.0,51.0,125.0,Mid_F,Mid,F,0.0880281690140845
56,6.0,255.0,25.5,4.0,56.0,52.0,170.0,Mid_F,Mid,F,0.11971830985915492
57,5.0,228.0,114.0,7.0,56.0,44.0,139.0,Mid_F,Mid,F,0.09788732394366197
58,6.0,182.0,26.0,0.0,114.0,44.0,230.0,Mid_F,Mid,F,0.1619718309859155
59,5.0,135.0,13.5,3.0,113.0,38.0,216.0,Mid_F,Mid,F,0.15211267605633802
60,6.0,209.0,20.9,5.0,88.0,51.0,161.0,Mid_F,Mid,F,0.11338028169014085
61,5.0,292.0,146.0,13.0,22.0,51.0,43.0,Mid_F,Mid,F,0.03028169014084507
62,7.0,240.0,120.0,6.0,47.0,48.0,94.0,Mid_F,Mid,F,0.06619718309859154
63,5.0,233.0,77.67,3.0,5.0,52.0,16.0,Mid_F,Mid,F,0.011267605633802818
64,5.0,252.0,25.2,5.0,46.0,63.0,95.0,Mid_F,Mid,F,0.06690140845070422
65,5.0,287.0,28.7,9.0,19.0,57.0,42.0,Mid_F,Mid,F,0.029577464788732393
66,6.0,277.0,92.33,1.0,45.0,58.0,89.0,Mid_F,Mid,F,0.06267605633802817
67,5.0,267.0,26.7,7.0,34.0,56.0,44.0,Mid_F,Mid,F,0.030985915492957747
68,5.0,220.0,22.0,4.0,88.0,54.0,188.0,Mid_F,Mid,F,0.1323943661971831
69,4.0,217.0,72.33,7.0,39.0,48.0,56.0,Mid_F,Mid,F,0.03943661971830986
70,5.0,313.0,31.3,6.0,11.0,68.0,25.0,Mid_F,Mid,F,0.017605633802816902
71,6.0,271.0,67.75,8.0,8.0,53.0,20.0,Mid_F,Mid,F,0.014084507042253521
72,4.0,273.0,91.0,4.0,7.0,49.0,11.0,Mid_F,Mid,F,0.007746478873239437
73,5.0,235.0,39.17,1.0,84.0,56.0,158.0,Mid_F,Mid,F,0.11126760563380282
74,5.0,256.0,25.6,4.0,46.0,49.0,104.0,Mid_F,Mid,F,0.07323943661971831
75,5.0,255.0,25.5,5.0,40.0,40.0,75.0,Mid_F,Mid,F,0.0528169014084507
76,6.0,256.0,256.0,6.0,31.0,47.0,75.0,Mid_F,Mid,F,0.0528169014084507
77,4.0,242.0,24.2,4.0,40.0,47.0,66.0,Mid_F,Mid,F,0.04647887323943662
78,5.0,300.0,33.33,7.0,12.0,57.0,28.0,Mid_F,Mid,F,0.01971830985915493
79,6.0,230.0,23.0,6.0,48.0,56.0,109.0,Mid_F,Mid,F,0.07676056338028169
80,5.0,276.0,27.6,5.0,6.0,55.0,15.0,Mid_F,Mid,F,0.01056338028169014
81,5.0,226.0,22.6,2.0,85.0,49.0,150.0,Mid_F,Mid,F,0.1056338028169014
82,5.0,243.0,243.0,3.0,5.0,56.0,6.0,Mid_F,Mid,F,0.004225352112676056
83,5.0,285.0,Inf,8.0,9.0,54.0,20.0,Mid_F,Mid,F,0.014084507042253521
84,5.0,256.0,25.6,7.0,22.0,58.0,62.0,Mid_F,Mid,F,0.04366197183098591
85,6.0,163.0,54.33,4.0,122.0,41.0,230.0,Mid_F,Mid,F,0.1619718309859155
86,5.0,226.0,28.25,7.0,96.0,52.0,235.0,Mid_F,Mid,F,0.16549295774647887
87,5.0,292.0,29.2,6.0,9.0,57.0,18.0,Mid_F,Mid,F,0.01267605633802817
88,5.0,216.0,21.6,2.0,79.0,44.0,128.0,Mid_F,Mid,F,0.09014084507042254
89,6.0,175.0,29.17,4.0,107.0,49.0,198.0,Mid_F,Mid,F,0.13943661971830987
90,6.0,216.0,21.6,3.0,95.0,50.0,203.0,Mid_F,Mid,F,0.14295774647887324
91,4.0,199.0,19.9,5.0,69.0,56.0,86.0,Mid_F,Mid,F,0.06056338028169014
92,4.0,276.0,69.0,3.0,27.0,63.0,39.0,Mid_F,Mid,F,0.027464788732394368
93,5.0,254.0,84.67,8.0,21.0,64.0,35.0,Mid_F,Mid,F,0.02464788732394366
94,4.0,221.0,221.0,6.0,58.0,52.0,99.0,Mid_F,Mid,F,0.06971830985915493
95,4.0,183.0,183.0,9.0,56.0,35.0,86.0,Mid_F,Mid,F,0.06056338028169014
96,5.0,266.0,Inf,7.0,45.0,49.0,89.0,Mid_F,Mid,F,0.06267605633802817
97,5.0,272.0,27.2,3.0,9.0,56.0,10.0,Mid_F,Mid,F,0.007042253521126761
98,5.0,311.0,31.1,5.0,19.0,62.0,56.0,Mid_F,Mid,F,0.03943661971830986
99,6.0,205.0,25.62,3.0,107.0,47.0,235.0,Mid_F,Mid,F,0.16549295774647887
100,6.0,311.0,62.2,6.0,4.0,59.0,33.0,Mid_F,Mid,F,0.02323943661971831
1,4.0,252.0,25.2,4.0,8.0,54.0,15.0,Mid_H,Mid,H,0.01056338028169014
2,4.0,140.0,14.0,5.0,19.0,31.0,38.0,Mid_H,Mid,H,0.02676056338028169
3,4.0,144.0,14.4,3.0,60.0,30.0,117.0,Mid_H,Mid,H,0.0823943661971831
4,4.0,176.0,176.0,6.0,57.0,41.0,70.0,Mid_H,Mid,H,0.04929577464788732
5,4.0,205.0,22.78,6.0,16.0,46.0,24.0,Mid_H,Mid,H,0.016901408450704224
6,4.0,201.0,100.5,9.0,40.0,36.0,104.0,Mid_H,Mid,H,0.07323943661971831
7,6.0,228.0,76.0,7.0,23.0,47.0,56.0,Mid_H,Mid,H,0.03943661971830986
8,5.0,206.0,68.67,2.0,34.0,45.0,78.0,Mid_H,Mid,H,0.054929577464788736
9,5.0,140.0,14.0,0.0,60.0,43.0,100.0,Mid_H,Mid,H,0.07042253521126761
10,4.0,186.0,18.6,2.0,3.0,45.0,19.0,Mid_H,Mid,H,0.013380281690140845
11,3.0,103.0,10.3,1.0,39.0,20.0,45.0,Mid_H,Mid,H,0.03169014084507042
12,4.0,150.0,15.0,4.0,73.0,51.0,117.0,Mid_H,Mid,H,0.0823943661971831
13,6.0,162.0,23.14,3.0,99.0,36.0,236.0,Mid_H,Mid,H,0.16619718309859155
14,4.0,213.0,213.0,8.0,50.0,31.0,74.0,Mid_H,Mid,H,0.05211267605633803
15,4.0,222.0,22.2,5.0,11.0,57.0,18.0,Mid_H,Mid,H,0.01267605633802817
16,4.0,212.0,26.5,6.0,15.0,42.0,47.0,Mid_H,Mid,H,0.03309859154929577
17,5.0,187.0,62.33,2.0,16.0,43.0,12.0,Mid_H,Mid,H,0.008450704225352112
18,4.0,107.0,53.5,2.0,56.0,30.0,80.0,Mid_H,Mid,H,0.056338028169014086
19,4.0,238.0,23.8,3.0,3.0,42.0,7.0,Mid_H,Mid,H,0.004929577464788733
20,5.0,167.0,23.86,1.0,26.0,42.0,41.0,Mid_H,Mid,H,0.028873239436619718
21,3.0,139.0,34.75,2.0,50.0,32.0,44.0,Mid_H,Mid,H,0.030985915492957747
22,5.0,121.0,12.1,2.0,37.0,18.0,88.0,Mid_H,Mid,H,0.061971830985915494
23,5.0,200.0,20.0,7.0,19.0,45.0,47.0,Mid_H,Mid,H,0.03309859154929577
24,6.0,217.0,21.7,3.0,72.0,59.0,179.0,Mid_H,Mid,H,0.126056338028169
25,4.0,170.0,24.29,8.0,12.0,40.0,14.0,Mid_H,Mid,H,0.009859154929577466
26,4.0,187.0,31.17,5.0,54.0,39.0,83.0,Mid_H,Mid,H,0.05845070422535211
27,4.0,206.0,103.0,3.0,22.0,41.0,55.0,Mid_H,Mid,H,0.03873239436619718
28,4.0,178.0,17.8,6.0,12.0,38.0,11.0,Mid_H,Mid,H,0.007746478873239437
29,4.0,160.0,80.0,4.0,10.0,35.0,21.0,Mid_H,Mid,H,0.014788732394366197
30,4.0,183.0,18.3,5.0,88.0,39.0,158.0,Mid_H,Mid,H,0.11126760563380282
31,4.0,243.0,24.3,4.0,1.0,49.0,13.0,Mid_H,Mid,H,0.009154929577464789
32,6.0,176.0,17.6,3.0,14.0,40.0,26.0,Mid_H,Mid,H,0.018309859154929577
33,4.0,260.0,37.14,6.0,8.0,45.0,11.0,Mid_H,Mid,H,0.007746478873239437
34,5.0,117.0,11.7,0.0,73.0,34.0,158.0,Mid_H,Mid,H,0.11126760563380282
35,5.0,212.0,21.2,3.0,53.0,43.0,127.0,Mid_H,Mid,H,0.08943661971830986
36,5.0,172.0,43.0,2.0,60.0,33.0,102.0,Mid_H,Mid,H,0.07183098591549296
37,4.0,207.0,25.88,8.0,52.0,47.0,105.0,Mid_H,Mid,H,0.07394366197183098
38,5.0,258.0,36.86,4.0,11.0,38.0,25.0,Mid_H,Mid,H,0.017605633802816902
39,4.0,108.0,36.0,0.0,2.0,21.0,5.0,Mid_H,Mid,H,0.0035211267605633804
40,7.0,179.0,17.9,3.0,88.0,45.0,202.0,Mid_H,Mid,H,0.14225352112676057
41,4.0,129.0,32.25,4.0,79.0,32.0,115.0,Mid_H,Mid,H,0.08098591549295775
42,3.0,122.0,24.4,2.0,23.0,26.0,24.0,Mid_H,Mid,H,0.016901408450704224
43,4.0,113.0,37.67,1.0,72.0,25.0,145.0,Mid_H,Mid,H,0.10211267605633803
44,4.0,176.0,22.0,2.0,18.0,34.0,14.0,Mid_H,Mid,H,0.009859154929577466
45,6.0,240.0,120.0,6.0,29.0,48.0,83.0,Mid_H,Mid,H,0.05845070422535211
46,5.0,209.0,20.9,8.0,34.0,43.0,104.0,Mid_H,Mid,H,0.07323943661971831
47,4.0,144.0,144.0,2.0,4.0,31.0,10.0,Mid_H,Mid,H,0.007042253521126761
48,4.0,137.0,13.7,1.0,3.0,21.0,19.0,Mid_H,Mid,H,0.013380281690140845
49,4.0,234.0,Inf,3.0,7.0,41.0,2.0,Mid_H,Mid,H,0.0014084507042253522
50,4.0,176.0,17.6,4.0,7.0,33.0,13.0,Mid_H,Mid,H,0.009154929577464789
51,5.0,179.0,89.5,5.0,65.0,42.0,130.0,Mid_H,Mid,H,0.09154929577464789
52,4.0,216.0,24.0,5.0,3.0,56.0,29.0,Mid_H,Mid,H,0.020422535211267606
53,4.0,205.0,20.5,5.0,10.0,39.0,18.0,Mid_H,Mid,H,0.01267605633802817
54,5.0,234.0,23.4,4.0,2.0,57.0,3.0,Mid_H,Mid,H,0.002112676056338028
55,6.0,219.0,73.0,4.0,14.0,38.0,38.0,Mid_H,Mid,H,0.02676056338028169
56,5.0,176.0,17.6,5.0,34.0,41.0,69.0,Mid_H,Mid,H,0.048591549295774646
57,4.0,204.0,204.0,3.0,9.0,43.0,42.0,Mid_H,Mid,H,0.029577464788732393
58,5.0,131.0,13.1,0.0,91.0,34.0,167.0,Mid_H,Mid,H,0.1176056338028169
59,5.0,199.0,19.9,4.0,32.0,41.0,90.0,Mid_H,Mid,H,0.06338028169014084
60,4.0,160.0,32.0,4.0,47.0,41.0,82.0,Mid_H,Mid,H,0.057746478873239436
61,4.0,229.0,22.9,6.0,4.0,42.0,17.0,Mid_H,Mid,H,0.011971830985915493
62,4.0,174.0,87.0,5.0,23.0,48.0,56.0,Mid_H,Mid,H,0.03943661971830986
63,5.0,198.0,33.0,4.0,18.0,40.0,34.0,Mid_H,Mid,H,0.023943661971830985
64,3.0,112.0,56.0,3.0,36.0,26.0,64.0,Mid_H,Mid,H,0.04507042253521127
65,5.0,182.0,18.2,5.0,11.0,42.0,29.0,Mid_H,Mid,H,0.020422535211267606
66,4.0,104.0,52.0,0.0,92.0,25.0,154.0,Mid_H,Mid,H,0.10845070422535211
67,6.0,160.0,16.0,3.0,76.0,49.0,142.0,Mid_H,Mid,H,0.1
68,5.0,197.0,19.7,1.0,50.0,48.0,94.0,Mid_H,Mid,H,0.06619718309859154
69,5.0,186.0,18.6,5.0,56.0,36.0,125.0,Mid_H,Mid,H,0.0880281690140845
70,5.0,177.0,17.7,1.0,97.0,37.0,260.0,Mid_H,Mid,H,0.18309859154929578
71,6.0,226.0,32.29,3.0,22.0,48.0,24.0,Mid_H,Mid,H,0.016901408450704224
72,5.0,189.0,31.5,3.0,59.0,37.0,122.0,Mid_H,Mid,H,0.08591549295774648
73,4.0,237.0,33.86,5.0,18.0,43.0,59.0,Mid_H,Mid,H,0.04154929577464789
74,7.0,171.0,17.1,3.0,86.0,36.0,177.0,Mid_H,Mid,H,0.12464788732394366
75,4.0,170.0,Inf,6.0,57.0,34.0,89.0,Mid_H,Mid,H,0.06267605633802817
76,3.0,144.0,20.57,2.0,4.0,22.0,5.0,Mid_H,Mid,H,0.0035211267605633804
77,3.0,75.0,75.0,0.0,73.0,24.0,83.0,Mid_H,Mid,H,0.05845070422535211
78,4.0,122.0,61.0,3.0,32.0,24.0,72.0,Mid_H,Mid,H,0.05070422535211268
79,5.0,187.0,18.7,5.0,103.0,38.0,240.0,Mid_H,Mid,H,0.16901408450704225
80,7.0,149.0,16.56,2.0,122.0,41.0,269.0,Mid_H,Mid,H,0.18943661971830986
81,4.0,151.0,Inf,3.0,3.0,21.0,14.0,Mid_H,Mid,H,0.009859154929577466
82,4.0,205.0,20.5,5.0,73.0,42.0,146.0,Mid_H,Mid,H,0.1028169014084507
83,5.0,146.0,Inf,3.0,49.0,36.0,105.0,Mid_H,Mid,H,0.07394366197183098
84,4.0,123.0,41.0,4.0,6.0,30.0,8.0,Mid_H,Mid,H,0.005633802816901409
85,5.0,210.0,21.0,6.0,8.0,32.0,44.0,Mid_H,Mid,H,0.030985915492957747
86,5.0,191.0,19.1,4.0,45.0,47.0,118.0,Mid_H,Mid,H,0.08309859154929577
87,3.0,114.0,11.4,1.0,102.0,34.0,182.0,Mid_H,Mid,H,0.12816901408450704
88,5.0,177.0,44.25,4.0,98.0,45.0,171.0,Mid_H,Mid,H,0.12042253521126761
89,4.0,221.0,22.1,4.0,6.0,47.0,14.0,Mid_H,Mid,H,0.009859154929577466
90,4.0,186.0,31.0,5.0,12.0,55.0,20.0,Mid_H,Mid,H,0.014084507042253521
91,4.0,185.0,18.5,4.0,87.0,40.0,168.0,Mid_H,Mid,H,0.11830985915492957
92,3.0,194.0,38.8,1.0,17.0,39.0,29.0,Mid_H,Mid,H,0.020422535211267606
93,3.0,145.0,24.17,4.0,2.0,24.0,1.0,Mid_H,Mid,H,0.0007042253521126761
94,5.0,127.0,12.7,4.0,88.0,38.0,180.0,Mid_H,Mid,H,0.1267605633802817
95,4.0,115.0,57.5,3.0,16.0,26.0,40.0,Mid_H,Mid,H,0.028169014084507043
96,4.0,244.0,24.4,2.0,5.0,50.0,8.0,Mid_H,Mid,H,0.005633802816901409
97,4.0,191.0,31.83,4.0,48.0,48.0,90.0,Mid_H,Mid,H,0.06338028169014084
98,3.0,166.0,16.6,5.0,9.0,32.0,20.0,Mid_H,Mid,H,0.014084507042253521
99,5.0,232.0,23.2,1.0,15.0,56.0,39.0,Mid_H,Mid,H,0.027464788732394368
100,5.0,175.0,25.0,2.0,76.0,34.0,183.0,Mid_H,Mid,H,0.1288732394366197
1,3.0,413.0,137.67,12.0,46.0,43.0,104.0,Low_None,Low,None,0.07323943661971831
2,4.0,457.0,45.7,8.0,54.0,51.0,75.0,Low_None,Low,None,0.0528169014084507
3,5.0,388.0,38.8,10.0,74.0,50.0,160.0,Low_None,Low,None,0.11267605633802817
4,5.0,426.0,142.0,7.0,49.0,45.0,100.0,Low_None,Low,None,0.07042253521126761
5,4.0,322.0,161.0,14.0,77.0,39.0,135.0,Low_None,Low,None,0.09507042253521127
6,5.0,351.0,35.1,4.0,105.0,50.0,217.0,Low_None,Low,None,0.1528169014084507
7,6.0,332.0,41.5,6.0,86.0,43.0,201.0,Low_None,Low,None,0.1415492957746479
8,4.0,412.0,41.2,13.0,57.0,42.0,101.0,Low_None,Low,None,0.07112676056338028
9,6.0,320.0,320.0,12.0,69.0,31.0,139.0,Low_None,Low,None,0.09788732394366197
10,4.0,291.0,29.1,5.0,123.0,47.0,231.0,Low_None,Low,None,0.16267605633802817
11,6.0,366.0,36.6,9.0,86.0,41.0,205.0,Low_None,Low,None,0.1443661971830986
12,5.0,328.0,46.86,10.0,84.0,39.0,129.0,Low_None,Low,None,0.09084507042253522
13,5.0,368.0,184.0,7.0,89.0,45.0,164.0,Low_None,Low,None,0.11549295774647887
14,4.0,450.0,45.0,12.0,53.0,44.0,102.0,Low_None,Low,None,0.07183098591549296
15,7.0,537.0,53.7,11.0,34.0,52.0,107.0,Low_None,Low,None,0.07535211267605633
16,4.0,464.0,46.4,13.0,39.0,49.0,62.0,Low_None,Low,None,0.04366197183098591
17,4.0,364.0,182.0,13.0,75.0,42.0,142.0,Low_None,Low,None,0.1
18,6.0,458.0,Inf,11.0,42.0,44.0,129.0,Low_None,Low,None,0.09084507042253522
19,7.0,295.0,29.5,5.0,104.0,41.0,208.0,Low_None,Low,None,0.14647887323943662
20,8.0,416.0,41.6,14.0,72.0,44.0,185.0,Low_None,Low,None,0.13028169014084506
21,4.0,475.0,47.5,11.0,49.0,64.0,83.0,Low_None,Low,None,0.05845070422535211
22,6.0,349.0,34.9,8.0,92.0,53.0,171.0,Low_None,Low,None,0.12042253521126761
23,5.0,406.0,40.6,10.0,86.0,50.0,168.0,Low_None,Low,None,0.11830985915492957
24,6.0,343.0,171.5,14.0,68.0,46.0,122.0,Low_None,Low,None,0.08591549295774648
25,4.0,387.0,38.7,5.0,76.0,44.0,142.0,Low_None,Low,None,0.1
26,5.0,308.0,30.8,10.0,98.0,50.0,178.0,Low_None,Low,None,0.12535211267605634
27,4.0,413.0,41.3,11.0,57.0,44.0,92.0,Low_None,Low,None,0.0647887323943662
